Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Ungraded Males Total""""","Primary Ungraded Females Total""""","Primary Ungraded Total""""","Primary Total""""","Year 7 Males Total""""","Year 7 Females Total""""","Year 7 Total""""","Year 8 Males Total""""","Year 8 Females Total""""","Year 8 Total""""","Year 9 Males Total""""","Year 9 Females Total""""","Year 9 Total""""","Year 10 Males Total""""","Year 10 Females Total""""","Year 10 Total""""","Year 11 Males Total""""","Year 11 Females Total""""","Year 11 Total""""","Year 12 Males""""","Year 12 Females""""","Year 12 Total""""","Secondary Ungraded Males Total""""","Secondary Ungraded Females Total""""","Secondary Ungraded Total""""","Secondary Total""""","Grand Total"""""
Government,1,8405,University High School,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,123,245,102,100,202,108,87,195,135,105,240,138,109,247,152.5,119.8,272.3,0,0,0,1401.3,1401.3
Government,1,8407,Roxburgh College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,81.4,204.4,108,94,202,131,84,215,122,107,229,129,94,223,105.6,98,203.6,7,3,10,1287,1287
Government,1,8410,Upper Yarra Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,44,96,54,28,82,58,49,107,49,44,93,32,47.7,79.7,27.1,29.8,56.9,0,0,0,514.6,514.6
Government,1,8415,Upwey High School,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,52,96,60,62,122,51,63,114,63,52,115,67,51,118,71,56,127,0,0,0,692,692
Government,1,8420,Vermont Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,121,247,117,109,226,117,125.9,242.9,117.9,108,225.9,109.9,109,218.9,85.7,89.9,175.6,0,0,0,1336.3,1336.3
Government,1,8421,Kambrya College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,66,156,81,100,181,97,110,207,88,81,169,92,83.9,175.9,63.7,71.9,135.6,0,0,0,1024.5,1024.5
Government,1,8422,Wanganui Park Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,184,99,118,217,122,108,230,113,100,213,107.7,105.7,213.4,90.5,95.8,186.3,0,0,0,1243.7,1243.7
Government,1,8423,Carrum Downs Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,77,151,89,87,176,73,67,140,96,92,188,82,63,145,52,69,121,0,0,0,921,921
Government,1,8425,Wangaratta High School,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,75,152,71,88,159,78,70.2,148.2,83,81,164,75.8,82.3,158.1,63,61.2,124.2,0,0,0,905.5,905.5
Government,1,8428,Wantirna College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,116,218,115,124,239,114,126,240,88,89,177,95,93.9,188.9,93.8,92.7,186.5,0,0,0,1249.4,1249.4
Government,1,8430,Warracknabeal Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,34,21,16,37,19,23,42,17,21,38,18.8,15.5,34.3,16.8,12.6,29.4,0,0,0,214.7,214.7
Government,1,8437,Warrandyte High School,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,31,72,48,39,87,40,30,70,42,46,88,40.8,47.8,88.6,43.6,40.4,84,0,0,0,489.6,489.6
Government,1,8462,Wellington Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,132,310,158,134,292,138,135,273,146,127,273,115.9,96,211.9,138.8,86.9,225.7,0,0,0,1585.6,1585.6
Government,1,8465,Werribee Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,119,257,120,124,244,128,127,255,128,137,265,119.9,113.9,233.8,95,91.9,186.9,0,0,0,1441.7,1441.7
Government,1,8466,Bairnsdale Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,92,173,89,79,168,111,80,191,79,74,153,85.8,96.9,182.7,75.5,61.8,137.3,0,0,0,1005,1005
Government,1,8470,Westall Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,58,39,19,58,39,34,73,51,39,90,51,45,96,32,34,66,0,0,0,441,441
Government,1,8474,Wheelers Hill Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,55,109,43,51,94,53,71,124,52,44,96,37.4,36,73.4,30.8,32,62.8,0,0,0,559.2,559.2
Government,1,8475,Williamstown High School,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,136,251,115,137,252,119,131,250,128,131,259,104,138,242,113,118,231,0,0,0,1485,1485
Government,1,8480,Wodonga Senior Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,15,17,32,187.8,188.3,376.1,174.9,156.9,331.8,128.7,172.7,301.4,0,0,0,1046.3,1046.3
Government,1,8490,Yarram Secondary College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,49,28,23,51,37,30,67,25,24,49,17.7,30.9,48.6,26,10.6,36.6,0,0,0,301.2,301.2
